Solver Name:,ASTRODF
Design Type:,NOLH
Number of Stacks:,1
Design Factors:,gamma_1,lambda_min
Fixed Factors:,crn_across_solns,eta_1,eta_2,gamma_2,easy_solve,reuse_points,ps_sufficient_reduction
Design #,gamma_1,lambda_min,crn_across_solns (fixed),eta_1 (fixed),eta_2 (fixed),gamma_2 (fixed),easy_solve (fixed),reuse_points (fixed),ps_sufficient_reduction (fixed)
0,2.25,110,True,0.1,0.8,0.5,True,True,0.1
1,1.25,36,True,0.1,0.8,0.5,True,True,0.1
2,1.5,54,True,0.1,0.8,0.5,True,True,0.1
3,1.75,73,True,0.1,0.8,0.5,True,True,0.1
4,4.0,104,True,0.1,0.8,0.5,True,True,0.1
5,5.0,42,True,0.1,0.8,0.5,True,True,0.1
6,3.5,30,True,0.1,0.8,0.5,True,True,0.1
7,3.25,98,True,0.1,0.8,0.5,True,True,0.1
8,3.0,61,True,0.1,0.8,0.5,True,True,0.1
9,3.75,11,True,0.1,0.8,0.5,True,True,0.1
10,4.75,85,True,0.1,0.8,0.5,True,True,0.1
11,4.5,67,True,0.1,0.8,0.5,True,True,0.1
12,4.25,48,True,0.1,0.8,0.5,True,True,0.1
13,2.0,17,True,0.1,0.8,0.5,True,True,0.1
14,1.0,79,True,0.1,0.8,0.5,True,True,0.1
15,2.5,91,True,0.1,0.8,0.5,True,True,0.1
16,2.75,23,True,0.1,0.8,0.5,True,True,0.1
