Design #,mu,lambda (default),warmup (default),people (default)
0,1.31,1.5,20,50
1,1.06,1.5,20,50
2,1.13,1.5,20,50
3,1.19,1.5,20,50
4,1.75,1.5,20,50
5,2.0,1.5,20,50
6,1.63,1.5,20,50
7,1.56,1.5,20,50
8,1.5,1.5,20,50
9,1.69,1.5,20,50
10,1.94,1.5,20,50
11,1.88,1.5,20,50
12,1.81,1.5,20,50
13,1.25,1.5,20,50
14,1.0,1.5,20,50
15,1.38,1.5,20,50
16,1.44,1.5,20,50
17,2.0,1.5,20,50
18,1.25,1.5,20,50
19,1.44,1.5,20,50
20,1.63,1.5,20,50
21,1.94,1.5,20,50
22,1.31,1.5,20,50
23,1.19,1.5,20,50
24,1.88,1.5,20,50
25,1.0,1.5,20,50
26,1.75,1.5,20,50
27,1.56,1.5,20,50
28,1.38,1.5,20,50
29,1.06,1.5,20,50
30,1.69,1.5,20,50
31,1.81,1.5,20,50
32,1.13,1.5,20,50
