Solver Name:,STRONG
Design Type:,NOLH
Number of Stacks:,3
Design Factors:,n0
Fixed Factors:,crn_across_solns,n_r,sensitivity,delta_threshold,delta_T,eta_0,eta_1,gamma_1,gamma_2,lambda,lambda_2
Design #,n0,crn_across_solns (fixed),n_r (fixed),sensitivity (fixed),delta_threshold (fixed),delta_T (fixed),eta_0 (fixed),eta_1 (fixed),gamma_1 (fixed),gamma_2 (fixed),lambda (fixed),lambda_2 (fixed)
0,4,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
1,2,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
2,2,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
3,3,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
4,8,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
5,10,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
6,7,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
7,6,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
8,6,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
9,7,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
10,9,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
11,9,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
12,8,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
13,3,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
14,1,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
15,4,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
16,5,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
17,10,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
18,3,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
19,5,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
20,7,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
21,9,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
22,4,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
23,3,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
24,9,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
25,1,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
26,8,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
27,6,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
28,4,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
29,2,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
30,7,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
31,8,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
32,2,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
33,8,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
34,9,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
35,2,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
36,4,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
37,5,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
38,4,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
39,10,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
40,8,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
41,3,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
42,2,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
43,9,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
44,7,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
45,6,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
46,7,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
47,1,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
48,3,True,10,1e-7,1.2,2,0.01,0.3,0.9,1.11,2,1.01
